disease_id,disease_group,icd_code,disease,icd_name,share_outpatient,share_oneday,share_inpatient,top1_code,top2_code,top3_code,top1_share,top2_share,top3_share,n_total,n_Female_25-44_Low,n_Female_25-44_Med,n_Female_25-44_High,n_Female_45-64_Low,n_Female_45-64_Med,n_Female_45-64_High,n_Female_65+_Low,n_Female_65+_Med,n_Female_65+_High,n_Male_25-44_Low,n_Male_25-44_Med,n_Male_25-44_High,n_Male_45-64_Low,n_Male_45-64_Med,n_Male_45-64_High,n_Male_65+_Low,n_Male_65+_Med,n_Male_65+_High
1,Infectious diseases,A15-A19,Tuberculosis,Tuberculosis,0.817136,0.050955,0.131909,A16,R76,A18,0.52,0.30,0.08,5686,321,264,286,495,358,233,281,193,204,539,238,164,687,347,222,363,269,222
2,Infectious diseases,A30-A49,Other bacterial diseases,Other bacterial diseases,0.14922,0.004919,0.845862,A41,N39,A40,0.72,0.20,0.02,43542,429,398,405,1584,1056,571,5309,5266,3946,422,271,216,1998,1432,1083,7274,6300,5582
3,Infectious diseases,A50-A64,Infections with a predominantly sexual mode of transmission,Infections with a predominantly sexual mode of transmission,0.994654,0.002083,0.003263,A63,A64,Z72,0.52,0.21,0.09,15224,1161,1012,1374,449,345,300,,,,3135,1817,1600,1435,1071,998,179,153,195
4,Infectious diseases,A65-A69,Other spirochetal diseases,Other spirochetal diseases,0.884333,0.105282,0.010385,A69,M01,T14,0.99,0.00,0.00,3870,167,209,304,344,300,265,150,87,129,177,200,181,241,356,398,90,98,174
5,Infectious diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,Viral infections characterized by skin and mucous membrane lesions,0.998645,0.001235,0.00012,B07,L82,A63,0.87,0.08,0.03,58679,1735,2243,3607,4807,4741,3857,3719,3200,3965,2294,1932,2018,2988,3709,5217,2092,2597,3958
6,Infectious diseases,B15-B19,Viral hepatitis,Viral hepatitis,0.879633,0.045694,0.074673,B18,B19,B17,0.56,0.22,0.09,5591,358,217,221,453,280,148,122,74,59,817,278,223,1112,440,307,227,147,108
7,Infectious diseases,B20-B24,HIV infection,HIV infection,0.890239,0.012023,0.097738,B24,B23,Z21,0.48,0.28,0.14,2559,106,,,74,,,,,,737,334,221,487,323,277,,,
8,Infectious diseases,B25-B34,Other viral diseases,Other viral diseases,0.599562,0.023837,0.376601,B34,J10,B02,0.58,0.10,0.09,8118,359,427,613,491,439,336,481,478,408,463,416,464,401,429,441,526,481,465
11,Infectious diseases,B99(-B99),Other infectious diseases,Other infectious diseases,0.511993,0.015628,0.472379,B99,A49,N39,0.44,0.15,0.05,15184,463,505,611,761,612,430,1265,1370,988,606,447,381,888,759,694,1632,1425,1347
12,Infectious diseases,K70-K77,Diseases of liver,Diseases of liver,0.791236,0.091298,0.117467,K75,K76,K71,0.54,0.12,0.08,19597,736,629,738,1737,1362,847,931,727,760,1490,858,746,2287,1643,1351,1000,925,830
