sex,age_group,disease_id_from,disease_id_to,link_strength
Female,25-44,13,44,0.0035976587230138
Female,25-44,13,46,0.0099725511888809
Female,25-44,13,67,0.0026186148677323
Female,25-44,13,124,0.0079750041685729
Female,25-44,13,145,0.0087991015353688
Female,25-44,13,148,0.0091953722421119
Female,25-44,13,212,0.0025430978119895
Female,25-44,13,218,0.0024893009307463
Female,25-44,13,226,0.0063995130289855
Female,25-44,13,241,0.0072717370568036
Female,25-44,13,258,0.0067712629004045
Female,25-44,13,266,0.0084929947219216
Female,25-44,13,273,0.0071323925744595
Female,25-44,13,288,0.0136005073974213
Female,25-44,29,38,0.0008613971365303
Female,25-44,29,259,0.0089663163489109
Female,25-44,29,270,0.0019793084414879
Female,25-44,37,112,0.0034002362551431
Female,25-44,37,222,0.0118203396029434
Female,25-44,37,255,0.0075108998239932
Female,25-44,43,23,0.0021296092733938
Female,25-44,43,52,0.0044004771888542
Female,25-44,43,151,0.0042729698247644
Female,25-44,43,199,0.0021196166034533
Female,25-44,43,266,0.0091807228564994
Female,25-44,43,341,0.0021469546261523
Female,25-44,45,120,0.0013205011211923
Female,25-44,45,189,0.0026088327877848
Female,25-44,45,333,0.0008738762699408
Female,25-44,46,139,0.003633189580901
Female,25-44,46,145,0.0048425179475137
Female,25-44,46,222,0.0065368702477405
Female,25-44,46,272,0.002575957002083
Female,25-44,46,288,0.0084159985638612
Female,25-44,46,292,0.0044700992780162
Female,25-44,46,303,0.0058957695280735
Female,25-44,76,12,0.0021258369257867
Female,25-44,76,91,0.0054783608691165
Female,25-44,76,146,0.0200519785862647
Female,25-44,76,184,0.0021219471142855
Female,25-44,76,208,0.0104194313162792
Female,25-44,76,212,0.0046123263003223
Female,25-44,76,214,0.005504130208733
Female,25-44,76,226,0.0088141599804608
Female,25-44,76,230,0.0305032571732984
Female,25-44,76,239,0.007891785370064
Female,25-44,76,241,0.0049163273626905
Female,25-44,76,285,0.008566818522559
Female,25-44,76,290,0.0021693204495862
Female,25-44,76,293,0.0056284274813125
Female,25-44,76,312,0.0021796424494553
Female,25-44,76,332,0.0046583849822172
Female,25-44,77,122,0.0168451427306597
Female,25-44,77,124,0.0117940264232162
Female,25-44,77,153,0.0034223432541383
Female,25-44,77,324,0.0086857578208282
Female,25-44,77,355,0.0034443277003138
Female,25-44,80,17,0.0029349938699959
Female,25-44,80,65,0.0063403780768598
Female,25-44,80,71,0.0060396851490007
Female,25-44,80,78,0.0071128502867419
Female,25-44,80,183,0.0069394259128796
Female,25-44,80,196,0.0053447877826166
Female,25-44,80,234,0.0045785520678867
Female,25-44,117,37,0.0066469330657738
Female,25-44,117,71,0.0035792684723948
Female,25-44,117,86,0.0018962133976917
Female,25-44,117,93,0.0053522172487632
Female,25-44,117,115,0.003711355579586
Female,25-44,117,178,0.0037584063638813
Female,25-44,117,283,0.0019036070820761
Female,25-44,124,77,0.006528977813273
Female,25-44,124,111,0.0028148582044981
Female,25-44,124,119,0.0042698107491594
Female,25-44,124,135,0.0052239440164927
Female,25-44,124,137,0.003935613438392
Female,25-44,124,145,0.0121819019243725
Female,25-44,124,150,0.0042781209879044
Female,25-44,124,181,0.0040032665954327
Female,25-44,124,299,0.0076199745789815
Female,25-44,126,120,0.0028417826348273
Female,25-44,126,124,0.0082292304509754
Female,25-44,126,127,0.0092433593587002
Female,25-44,126,131,0.0053401072059142
Female,25-44,126,362,0.0029064574330014
Female,25-44,131,114,0.0038661847134127
Female,25-44,131,115,0.0040120399913376
Female,25-44,131,118,0.0020448990815985
Female,25-44,131,120,0.0038498862750745
Female,25-44,131,123,0.0054444805715239
Female,25-44,131,209,0.0040987272109223
Female,25-44,131,290,0.0041077512958781
Female,25-44,131,323,0.0039434712473868
Female,25-44,131,356,0.0056811430870899
Female,25-44,135,67,0.002049852377492
Female,25-44,135,96,0.003917705836195
Female,25-44,135,111,0.00629287806633
Female,25-44,135,142,0.0041532907552417
Female,25-44,135,145,0.0137644401136851
Female,25-44,135,146,0.0094460648726477
Female,25-44,135,165,0.0039420937520533
Female,25-44,135,178,0.0062124031197707
Female,25-44,135,195,0.0041700493128148
Female,25-44,135,239,0.012556221537502
Female,25-44,135,295,0.0038619233184966
Female,25-44,139,78,0.0047819884454936
Female,25-44,139,83,0.0041299219910203
Female,25-44,139,128,0.0025351700925552
Female,25-44,139,132,0.0035853729167326
Female,25-44,139,140,0.0235838823881273
Female,25-44,139,145,0.0146210314468987
Female,25-44,139,153,0.0038733717237307
Female,25-44,139,168,0.0082188996758329
Female,25-44,139,176,0.0025901228434963
Female,25-44,139,181,0.005001010323308
Female,25-44,139,208,0.0112582530590385
Female,25-44,139,226,0.006813451511394
Female,25-44,139,252,0.0037382163691962
Female,25-44,139,273,0.0046218242007706
Female,25-44,140,67,0.0026209469840351
Female,25-44,140,138,0.0024602976984737
Female,25-44,140,139,0.00499821114325
Female,25-44,140,145,0.006163022801346
Female,25-44,140,146,0.0065981355203
Female,25-44,140,178,0.0017341319401132
Female,25-44,140,189,0.0034963832451537
Female,25-44,140,190,0.0066068549798424
Female,25-44,140,223,0.0041377613232943
Female,25-44,140,234,0.0017643559784998
Female,25-44,140,261,0.0016532136842778
Female,25-44,144,13,0.005325680844335
Female,25-44,144,71,0.0025342350371414
Female,25-44,144,117,0.008681139178872
Female,25-44,144,119,0.0025503501819108
Female,25-44,144,135,0.0039186784967996
Female,25-44,144,145,0.0079209199430044
Female,25-44,144,153,0.0025327811383443
Female,25-44,144,184,0.0018191712811828
Female,25-44,144,193,0.0032144678610213
Female,25-44,144,206,0.0017955263387415
Female,25-44,144,218,0.001740625270537
Female,25-44,144,260,0.0027773346297365
Female,25-44,144,270,0.0025476898354542
Female,25-44,144,354,0.0026306275025768
Female,25-44,145,2,0.0022646664274047
Female,25-44,145,76,0.0044613133442161
Female,25-44,145,108,0.0065758439562473
Female,25-44,145,110,0.0028541364924252
Female,25-44,145,120,0.0020387553041029
Female,25-44,145,135,0.0037846581636207
Female,25-44,145,137,0.0040329740223617
Female,25-44,145,139,0.0079504188202695
Female,25-44,145,140,0.0069801863289695
Female,25-44,145,144,0.0072033639269148
Female,25-44,145,146,0.0108278558913583
Female,25-44,145,149,0.0014263403990426
Female,25-44,145,159,0.0032822266985226
Female,25-44,145,164,0.0086772348989414
Female,25-44,145,178,0.0020075630857052
Female,25-44,145,192,0.0056468963193845
Female,25-44,145,212,0.0014358416827765
Female,25-44,145,220,0.0027079499828962
Female,25-44,145,222,0.009977267491839
Female,25-44,145,224,0.0020788693108008
Female,25-44,145,258,0.00417613139874
Female,25-44,145,259,0.0124080522002654
Female,25-44,145,301,0.0059876982562956
Female,25-44,145,317,0.003711602068517
Female,25-44,145,368,0.0030924844440228
Female,25-44,146,28,0.0036168211428735
Female,25-44,146,71,0.0030965468516351
Female,25-44,146,76,0.017690709295519
Female,25-44,146,113,0.0023272628890077
Female,25-44,146,124,0.005285149745647
Female,25-44,146,148,0.0091887395102146
Female,25-44,146,164,0.0086034582235837
Female,25-44,146,184,0.0014909043975089
Female,25-44,146,191,0.005166995608945
Female,25-44,146,198,0.0076908839985528
Female,25-44,146,208,0.0075463359770293
Female,25-44,146,213,0.0015894200323802
Female,25-44,146,214,0.0046910726381102
Female,25-44,146,222,0.0077704346696857
Female,25-44,146,230,0.0071492846440794
Female,25-44,146,255,0.0050548907692384
Female,25-44,146,288,0.0100854031723366
