disease_group,disease_id,disease,outcome,income,sex,age_group,rel_year,estimate,ci_low,ci_high,p_value,n,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,young,-5,-0.043556795,-0.26016173,0.17304814068379304,0.6934822862795214,2663,,,2200000
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,young,-4,-0.161092927,-0.448001527,0.12581567437039126,0.27111551239237874,814,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,young,-3,-0.069691443,-0.308774048,0.16939116229938914,0.5677755074637907,2131,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,young,-2,-0.133579435,-0.318253039,0.051094168,0.156272161,4149,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,young,-1,-0.180545505,-0.359363208,-0.001727802,0.04782296,4319,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,young,0,-0.253105026,-0.477435119,-0.028774933,0.027007445635572225,4172,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,young,1,-0.342650702,-0.649736133,-0.035565271,0.028742633632944603,2339,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,young,2,-0.361507949,-0.576002497,-0.147013402,0.000955291,4486,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,young,3,-0.323722374,-0.580410485,-0.067034263,0.013441393121608858,2823,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,young,4,-0.370906814,-0.732035693,-0.009777935,0.04410737,940,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,young,5,-0.476951081,-0.682031208,-0.271870953,5.156051576804543e-06,4546,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,medium,male,young,-5,-0.043556795,-0.26016173,0.17304814068379304,0.6934822862795214,2663,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,medium,male,young,-4,-0.161092927,-0.448001527,0.12581567437039126,0.27111551239237874,814,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,medium,male,young,-3,-0.069691443,-0.308774048,0.16939116229938914,0.5677755074637907,2131,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,medium,male,young,-2,-0.133579435,-0.318253039,0.051094168,0.156272161,4149,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,medium,male,young,-1,-0.180545505,-0.359363208,-0.001727802,0.04782296,4319,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,medium,male,young,0,-0.253105026,-0.477435119,-0.028774933,0.027007445635572225,4172,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,medium,male,young,1,-0.342650702,-0.649736133,-0.035565271,0.028742633632944603,2339,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,medium,male,young,2,-0.361507949,-0.576002497,-0.147013402,0.000955291,4486,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,medium,male,young,3,-0.323722374,-0.580410485,-0.067034263,0.013441393121608858,2823,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,medium,male,young,4,-0.370906814,-0.732035693,-0.009777935,0.04410737,940,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,medium,male,young,5,-0.476951081,-0.682031208,-0.271870953,5.156051576804543e-06,4546,,,
